Organization Name,Organization Name URL,Operating Status,Company Type,IPO Status,Estimated Revenue Range,Number of Employees,Headquarters Location,Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Full Description,Industries,Description,Founded Date,Founded Date Precision,Website
Florence Healthcare,https://www.crunchbase.com/organization/florence-heathcare,Active,For Profit,Private,$1M to $10M,101-250,"Atlanta, Georgia, United States",Series C,115800000,USD,115800000,"Florence advances clinical research through software. The Florence Platform replaces paper investigator site files, trial master files and source binders with a shared platform.  This shared platform approach makes remote monitoring of eRegulatory and eSource documents possible while giving sponsors real-time insights into study progress. Hundreds of sponsors and sites worldwide trust Florence eBinders to move past paper study roadblocks and enable new approaches to trial management. Florence is based in Atlanta, Georgia.","Biotechnology, Health Care, Pharmaceutical",Florence is a clinical trials platform that connects pharmaceutical companies and study sites to decentralize trials for drug development.,2014-08-14,day,https://florencehc.com
54gene,https://www.crunchbase.com/organization/54gene,Active,For Profit,Private,$1M to $10M,101-250,"Washington, District of Columbia, United States",Series B,44725000,USD,44725000,"54gene is a healthcare startup unlocking the African genome to fuel genetic research and development that may lead to new discoveries and benefit all populations. 54gene was founded in 2019 by Dr. Abasi Ene-Obong to address the significant gap in the global genomics market: Nearly 90% of genetic material used in pharmaceutical research is caucasian. Only 2% is African, despite the fact that Africans and people of African ancestry are more genetically diverse than all other world populations combined. As a result, pharmaceutical research and development is lacking the diverse data that may hold the key to medical discoveries and new healthcare solutions.","Biotechnology, Genetics, Health Care, Life Science",54gene is a healthcare startup that offers a genetics testing platform.,2019-01-01,year,https://www.54gene.com/
Proscia,https://www.crunchbase.com/organization/proscia,Active,For Profit,Private,$1M to $10M,101-250,"Philadelphia, Pennsylvania, United States",Series C,70590270,USD,70590270,"Proscia is a software company that is accelerating pathology’s digital transformation to change the way we understand diseases like cancer. Its Concentriq digital pathology platform and powerful AI applications are advancing the 150-year-old standard of research and diagnosis towards a data-driven discipline, unlocking new insights that accelerate discovery, improve patient outcomes, and fulfill the promise of precision care. Leading diagnostic laboratories and 10 of the top 20 pharmaceutical companies rely on Proscia’s software each day.","Artificial Intelligence, Biotechnology, Medical, Software",Proscia is a leader in digital and computational pathology solutions.,2014-07-01,month,https://www.proscia.com
ReCode Therapeutics,https://www.crunchbase.com/organization/recode-therapeutics,Active,For Profit,Private,,51-100,"Dallas, Texas, United States",Series B,282000000,USD,282000000,"ReCode Therapeutics is a development-stage biopharmaceutical company focused on the correction of the nonsense mutations that account for 1/3 of all inherited diseases, including approximately 10% of cystic fibrosis. They have combined selected tRNAs with their unique and diverse proprietary delivery platforms to create and develop first-in-class suppressor tRNA-nanoparticle therapeutics for correcting nonsense mutations. ReCode’s diverse pipeline includes lead programs for primary ciliary dyskinesia (PCD) and nonsense mutations in cystic fibrosis (CF). The company’s proprietary non-viral lipid nanoparticle platform enables the delivery of a variety of payloads, and precise organ targeting of nucleic acid and protein payloads via both systemic and local delivery. ReCode is leveraging its nanoparticle and nucleic acid technologies across multiple modalities, including mRNA-mediated protein replacement therapies, first-in-class tRNA NanoCorrectors for diseases caused by nonsense mutations, and gene editing. The company was founded in 2015 and is based in Dallas, Texas.","Biopharma, Biotechnology, Health Care, Pharmaceutical, Wellness","ReCode Therapeutics is a genetic medicines company developing targeted, disease-modifying therapies for life-limiting respiratory diseases.",2015-01-01,year,https://recodetx.com/
Faeth Therapeutics,https://www.crunchbase.com/organization/faeth-therapeutics,Active,For Profit,Private,,11-50,"San Francisco, California, United States",Series A,67000000,USD,67000000,"Faeth Therapeutics is a data-driven, evidence-based company that specializes in mechanistic understanding of the way that dietary nutrients influence tumor growth and cancer treatment. It fully focuses on matching specific diets with tumor genotypes and treatment regimens to improve the outcomes of cancer therapy. The company was founded to translate breakthrough discoveries, made by cancer research laboratories, into clinical practice. Its founding team includes some of the industry’s preeminent researchers and clinicians.","Biotechnology, Health Care, Medical, Therapeutics",Faeth Therapeutics is a cancer metabolism company that focuses on nutrition treatments for cancer patients.,2019-01-01,year,https://www.faeththerapeutics.com
Vizgen,https://www.crunchbase.com/organization/vizgen,Active,For Profit,Private,$10M to $50M,51-100,"Cambridge, Massachusetts, United States",Series C,136200000,USD,136200000,"Vizgen is a privately held biotech company developing the next generation of spatially resolved, single-cell transcriptomics technology and toolbox. The company's patented MERFISH technology enables massively multiplexed, genome-scale nucleic acid imaging with high accuracy and detection efficiency at subcellular resolution. The high throughput and resolution and the low cost per cell achieved by the technology will enable a wide range of tissue-scale basic research and development and will be instrumental to efforts to discover and map cell types and states in a range of tissues and organisms.","Biotechnology, Health Care, Medical","Vizgen is a biotech company that develops solutions for next-generation spatially resolved, single-cell transcriptomics.",2019-03-07,day,https://www.vizgen.com/
MegaRobo,https://www.crunchbase.com/organization/megarobo,Active,For Profit,Private,$10M to $50M,11-50,"Beijing, Beijing, China",Series C,395772339,USD,395772339,,"Artificial Intelligence, Biotechnology, Life Science, Robotics",MegaRobo is an artificial intelligence & robotics company empowering biotech innovation breakthroughs,2016-01-01,year,http://www.megarobo.tech/
MiroBio,https://www.crunchbase.com/organization/mirobio,Active,For Profit,Private,Less than $1M,1-10,"Oxford, Oxfordshire, United Kingdom",Series B,107000000,GBP,130149007,MiroBio's platform is based on ground-breaking research by their scientific founders at the University of Oxford delineating how immune cells communicate and how they are activated. These insights have enabled MiroBio to create antibodies that can leverage natural signalling mechanisms to restore immune system balance and control.,"Biotechnology, Life Science",MiroBio is Harnessing the natural control mechanisms of the immune system.,2019-01-01,year,http://www.mirobio.com/
Remilk,https://www.crunchbase.com/organization/remilk,Active,For Profit,Private,,101-250,"Tel Aviv, Tel Aviv, Israel",Series B,131301000,USD,131301000,"Remilk is a food-tech company that uses microbes to produce the key ingredients in milk. The company is developing technology for creating a milk substitute that is similar to cow milk in flavor, nutritional composition, composition, and functionality. It was founded in 2019 and is based in Tel Aviv, Israel.","Biotechnology, Food and Beverage, Food Processing, Nutrition",Remilk is a global leader in the development of animal-free dairy through microbial fermentation.,2019-06-14,day,https://www.remilk.com/
LatchBio,https://www.crunchbase.com/organization/latch-ai,Active,For Profit,Private,,11-50,"San Francisco, California, United States",Series A,33200000,USD,33200000,"LatchBio develops a data infrastructure intended to build and disseminate the open-source infrastructure of the biocomputing revolution. Founded in 2021 by Alfredo Andere, Kyle Giffin, and Kenny Workman, the company creates open-source machine learning and cloud infrastructure for the next generation of therapeutic discovery, thereby enabling biotech companies to find therapies faster and save on engineering.","Artificial Intelligence, Bioinformatics, Biopharma, Biotechnology, Machine Learning",LatchBio is a biotech research company that provides code-free platform for the biocomputing revolution.,2021-01-01,year,https://www.latch.bio
Aerin Medical,https://www.crunchbase.com/organization/aerin-medical,Active,For Profit,Private,$10M to $50M,51-100,"Sunnyvale, California, United States",Private Equity,190474998,USD,190474998,"Aerin Medical is a health technology company that develops therapeutic devices to improve nasal breathing. Its device utilizes low-power radiofrequency energy to remodel nasal soft tissues and address the underlying cause of nasal congestion, enabling patients suffering from nasal breathing disorders to open their nasal airways quickly, safely, and effectively. Founded in 2011, the company is based in Sunnyvale, California, United States.","Biotechnology, Health Care, Medical Device",Aerin Medical is a health technology company that develops therapeutic devices to improve nasal breathing.,2011-01-01,year,http://www.aerinmedical.com/
Incode Technologies,https://www.crunchbase.com/organization/incode-technologies,Active,For Profit,Private,$10M to $50M,101-250,"San Francisco, California, United States",Series B,257050000,USD,257050000,"Incode Technologies is a digital identity company that builds delightful and secure biometric identity products for frictionless banking, payment, hospitality, and retail experiences. Incode is recognized as a leader in enterprise-grade facial recognition by the US Government. Built for the next generation of consumers, Incode’s products are already used by some of the world’s largest banks, financial institutions, governments, and retailers. Incode sets a new standard in convenience and security for those who matter the most: the end-users. Incode was founded in 2015 by a passionate serial entrepreneur and a group of hard-working, goal-crushing individuals. Headquartered in San Francisco, Incode operates globally with additional offices in Europe and Latin America.","Biometrics, FinTech, Identity Management, Payments, Software",Incode Technologies is a real-life verification company that specializes in omnichannel biometric identity.,2015-01-01,year,http://www.incode.com
Eikon Therapeutics,https://www.crunchbase.com/organization/eikon-therapeutics,Active,For Profit,Private,,101-250,"Hayward, California, United States",Series B,666000000,USD,666000000,"Eikon Therapeutics is a biopharmaceutical company employing revolutionary technology at the interface of biology, engineering, and chemistry to discover novel treatments for life-threatening diseases. Eikon’s discovery platform is built on groundbreaking innovations from its founders (Nobel Prize, 2014), culminating in the creation of microscopes that enable real-time, molecular-resolution measurements of protein movement in living cells.","Biotechnology, Health Care, Life Science, Medical",Eikon Therapeutics is a biopharmaceutical company that develops live-cell resolution microscopy and engineering for drug discovery.,2019-01-01,year,http://www.eikontx.com
AlgiKnit,https://www.crunchbase.com/organization/algiknit,Active,For Profit,Private,$1M to $10M,11-50,"Brooklyn, New York, United States",Series A,17600000,USD,17600000,"AlgiKnit is a biomaterials company integrating science and design into textile production. The company envisions a future where the textile industry operates in a closed-loop product lifecycle, utilizing materials with a significantly lower footprint than conventional textiles.","Biotechnology, Product Design, Sustainability, Textiles",AlgiKnit is a biomaterials company integrating science and design into textile production.,2017-01-01,year,http://algiknit.com
Oxford Quantum Circuits,https://www.crunchbase.com/organization/oxford-quantum-circuits,Active,For Profit,Private,$1M to $10M,11-50,"Oxford, Oxfordshire, United Kingdom",Series A,46039177,USD,46039177,"Oxford Quantum Circuits developing technology using the power of quantum to do things which have never been achieved before, from enabling life-changing drug discoveries to developing new battery technologies.","Biotechnology, Health Care, Information and Communications Technology (ICT), Information Technology",Oxford Quantum Circuits developing technology using the power of quantum to do things which have never been achieved before.,2017-01-01,year,https://oxfordquantumcircuits.com/
Incognia,https://www.crunchbase.com/organization/incognia,Active,For Profit,Private,$10M to $50M,51-100,"Palo Alto, California, United States",Series A,15500000,USD,15500000,,"Biometrics, Cyber Security, Fraud Detection, Identity Management, Information Technology, Location Based Services, Mobile Apps, Privacy, Software",Incognia Incognia is a privacy-first location identity company that provides frictionless mobile authentication for reduced fraud.,2020-01-01,year,https://www.incognia.com
Tessa Therapeutics,https://www.crunchbase.com/organization/tessa-therapeutics,Active,For Profit,Private,$10M to $50M,101-250,"Singapore, Central Region, Singapore",Series A,256000000,USD,256000000,"Tessa Therapeutics is a provider of therapy designed to focus on T cell therapy for solid tumors. The company's therapy specializes in developing virus specific T-cells and CAR T cells for the treatment of lymphoma, enabling healthcare providers to treat cancer patients and improve their lives.","Biotechnology, Health Care, Therapeutics",Tessa Therapeutics is a provider of therapy designed to focus on T cell therapy for solid tumors.,2001-01-01,year,https://www.tessacell.com
Magnetic Insight,https://www.crunchbase.com/organization/magnetic-insight-inc,Active,For Profit,Private,$1M to $10M,11-50,"Alameda, California, United States",Series B,41450000,USD,41450000,"Magnetic Insight (MI) introduced magnetic particle imaging into the preclinical diagnostic research market enabling quantitative cell tracking, imaging of vascular function, detecting metastatic tumors, visualizing inflammation, CAR-T cell therapies and initial research into regenerative medicine.","Biotechnology, Health Care, Life Science, Medical Device",MPI enables best in class cellular imaging to measure the efficacy of cancer immunotherapies.,2014-09-29,day,http://www.magneticinsight.com
Elucid,https://www.crunchbase.com/organization/elucid-bioimaging,Active,For Profit,Private,$1M to $10M,51-100,"Boston, Massachusetts, United States",Series B,49728339,USD,49728339,"Based in the Boston biotech and medtech hub, Elucid is focused on improving the accuracy, experience, & cost-effectiveness of cardiovascular diagnostic imaging by leveraging machine learning. Elucid's main product, ElucidVivo, is the first-ever, FDA-cleared, histologically-validated software for evaluating plaque vulnerability from a single CTA to inform risk of event (heart attack or stroke) & treatment selection. Additionally, Elucid works with pharmaceutical companies, providers, and research organizations to provide quantitative image analysis services.","Analytics, Biotechnology, Medical Device",Elucid enables precision medicine for cardiovascular disease by applying A.I to medical image analysis validated against true biology.,2013-01-01,year,http://elucid.com
Artio Medical,https://www.crunchbase.com/organization/metactive-medical,Active,For Profit,Private,Less than $1M,1-10,"Olathe, Kansas, United States",Series A,73384094,USD,73384094,"Artio Medical develops endovascular medical devices for the embolization of vessels, aneurysms, and other vascular structures. The company's first products enable precise and immediate occlusion and rapid sealing of cerebral aneurysms and other target vessel segments using an over-the-wire microcatheter platform. These products enable physicians to perform better, faster, and safer vascular occlusion procedures. The company was founded in 2011 and is based in Olathe, Kansas.","Biotechnology, Health Care, Manufacturing, Medical, Medical Device","Artio Medical develops endovascular medical devices for the embolization of vessels, aneurysms, and other vascular structures.",2011-01-01,year,https://artiomedical.com/
Helix,https://www.crunchbase.com/organization/helix,Active,For Profit,Private,$100M to $500M,101-250,"San Mateo, California, United States",Series C,403000000,USD,403000000,"Helix is the leading population genomics company working at the intersection of clinical care, research, and genomics. Its end-to-end platform enables health systems, life sciences companies, and payers to advance genomic research and accelerate the integration of genomic data into clinical care. Powered by one of the world's largest CLIA / CAP next-generation sequencing labs and its proprietary Exome+™ assay, Helix supports all aspects of population genomics including recruitment and engagement, clinically actionable disease screening, return of results, and basic and translational research.","Big Data, Bioinformatics, Biotechnology, Genetics, Health Care, Personal Health",Helix is a population genomics company that is working to advance genomics research and integrate genomic data into clinical care.,2015-07-15,day,http://www.helix.com
Redcliffe Labs,https://www.crunchbase.com/organization/redcliffe-lifetech,Active,For Profit,Private,,1001-5000,"Noida, Uttar Pradesh, India",Series B,71000000,USD,71000000,Redcliffe Labs (unit of US based Redcliffe Lifetech Inc) is India's fastest growing technology empowered diagnostics service provider having its home sample collection service in more than 120 cities with 30+ Labs and 700+ Walk-in Wellness and Collection Centres across India. It aims to make Health tests accessible to all Indians through a perfect fusion of technology and world class state-of-the art owned labs and trusted radiology network.,"Emergency Medicine, Health Care, Health Diagnostics, Life Science, Medical",Redcliffe is a one-stop diagnostic platform offering a wide selection of tests to choose from and delivering care closer to the customer.,2018-01-01,year,https://redcliffelabs.com
Avant Meats,https://www.crunchbase.com/organization/avant-meats,Active,For Profit,Private,$1M to $10M,1-10,"Central, Hong Kong Island, Hong Kong",Series A,13900000,USD,13900000,"They focus on technology, commercial product innovation, and branding as well as intellectual property portfolio building in the area of ‘cell-based’ animal protein food products.",Biotechnology,Avant Meats is a technology company with patent-pending solutions to produce animal meat and protein without the animal,2018-01-01,year,https://www.avantmeats.com/
Transition Bio,https://www.crunchbase.com/organization/transition-bio,Active,For Profit,Private,,11-50,"Cambridge, Massachusetts, United States",Series A,50000000,USD,50000000,"Transition Bio provides condensate technology for drug discovery and diagnostics. The company focuses on the discovery, analysis, and modulation of biological condensates, propelled by a differentiated technological capability that generates expansive drug development opportunities in a hypothesis-free manner.","Biotechnology, Health Care, Health Diagnostics, Medical",Transition Bio provides condensate technology for drug discovery and diagnostics.,2020-01-01,year,https://www.transitionbio.com/
Myome,https://www.crunchbase.com/organization/myome,Active,For Profit,Private,,11-50,"Palo Alto, California, United States",Series B,23000000,USD,23000000,"Myome helps identify genes that cause disease and act based on leading science. The data is secure, portable, and reusable throughout life.","Biotechnology, Life Science",Myome helps identify genes that cause disease and act based on leading science.,2017-01-01,year,https://myome.com/
DermaSensor,https://www.crunchbase.com/organization/dermasensor-inc,Active,For Profit,Private,$1M to $10M,11-50,"Miami, Florida, United States",Series B,34550000,USD,34550000,"DermaSensor’s mission is to save lives and healthcare costs by providing easy access to effective skin cancer evaluation, given that the majority of Americans report never having been checked for skin cancer. The DermaSensor device is an affordable, handheld tool that uses machine learning and spectroscopy to objectively evaluate skin lesions for potential cancer in seconds.","Biotechnology, Health Care, Medical, Medical Device",DermaSensor Inc. is a health technology company designing tools to better equip primary care providers for skin cancer checks,2009-05-01,month,https://www.dermasensor.com.au
Carbon Biosciences,https://www.crunchbase.com/organization/carbon-biosciences,Active,For Profit,Private,Less than $1M,11-50,"Lexington, Massachusetts, United States",Series A,38000000,USD,38000000,,"Biotechnology, Product Research, Therapeutics",Carbon Biosciences is a biotech company that engages in the novel parvovirus gene therapy.,2021-01-01,year,https://www.carbonbio.com/
Gemelli Biotech,https://www.crunchbase.com/organization/gemelli-biotech,Active,For Profit,Private,$1M to $10M,11-50,"Raleigh, North Carolina, United States",Series A,28350000,USD,28350000,"Gemelli is a biotechnology company that specializes in the microbiome, and IBS diagnostics. It strives to achieve a thriving global family of healthy individuals by unlocking the potential of the microbiome. The company is driven by its mission is to support the discovery of novel diagnostics and therapeutics for the human microbiome by bringing biotechnology innovations to market in a fiscally responsible and socially conscious way.  The company was founded in 2018 and headquartered in North Carolina, United States.","Biotechnology, Health Diagnostics, Pharmaceutical","Gemelli is a biotechnology company that specializes in the microbiome, and IBS diagnostics.",2018-07-18,day,https://www.gemellibiotech.com/
Strella Biotechnology,https://www.crunchbase.com/organization/strella-biotechnology,Active,For Profit,Private,$1M to $10M,1-10,"Philadelphia, Pennsylvania, United States",Series A,11800000,USD,11800000,"Strella biotech is a revenue-generating food supply chain company that provides data to optimize the produce supply chain via patented proprietary sensing technology. It specializes in the fields of supply chain management and big data. Strella was founded in 2018 by Jacob Jordan and Katherine Sizov and is based in Philadelphia, Pennsylvania, United States.","Big Data, Biotechnology, Food and Beverage, Sensor, Supply Chain Management",Strella Biotechnology offers a biosensing platform that predicts the ripeness of fruit which reduces waste and improves product quality.,2018-01-01,day,https://www.strellabiotech.com
Akili Interactive Labs,https://www.crunchbase.com/organization/akili,Active,For Profit,Private,$10M to $50M,101-250,"Boston, Massachusetts, United States",Series D,301090000,USD,301090000,"Akili Interactive Labs their broad pipeline of programs to treat cognitive deficiency and improve symptoms associated with medical conditions across neurology and psychiatry, including attention-deficit hyperactivity and disorder (ADHD), major depressive disorder (MDD), autism spectrum disorder (ASD) and various inflammatory diseases.","Biotechnology, Health Care, Medical, Neuroscience, Service Industry, Therapeutics",Akili Interactive Labs Provides Healthcare Treatments.,2011-01-01,year,http://www.akiliinteractive.com
Human Longevity,https://www.crunchbase.com/organization/human-longevity,Active,For Profit,Private,$10M to $50M,101-250,"San Diego, California, United States",Series C,330000000,USD,330000000,"Human Longevity (HLI) is the genomic-based, health intelligence company empowering proactive healthcare and enabling a life better lived. HLI combines the largest database of genomic and phenotypic data with machine learning to drive discoveries and revolutionize the practice of medicine. Its business areas include the HLI Health Nucleus, a genomic powered clinical research center that uses whole-genome sequence analysis, advanced clinical imaging, and innovative machine learning, along with curated personal health information to deliver the most complete picture of individual health; HLIQ Whole Genome and HLIQ Oncology.  It was founded in 2013 and is headquartered in San Diego, California.","Biotechnology, Genetics, Health Care, Health Diagnostics","Human Longevity is a genomic-based, health intelligence company empowering proactive healthcare and enabling a life better lived.",2013-01-01,year,https://humanlongevity.com
Axtria,https://www.crunchbase.com/organization/axtria,Active,For Profit,Private,$100M to $500M,1001-5000,"Berkeley Heights, New Jersey, United States",Venture - Series Unknown,206241834,USD,206241834,"Axtria provides cloud software and data analytics solutions for the Life Sciences industry. It helps Life Sciences companies transform the product commercialization journey to drive sales growth and improve healthcare outcomes for patients.  The company was founded in 2010 and is headquartered in Berkeley Heights, New Jersey.","Analytics, Big Data, Cloud Data Services, Life Science, Software",Axtria is a big data analytics software and services company for the Life Sciences industry.,2010-01-01,year,http://axtria.com
