Organization Name,Organization Name URL,Operating Status,Company Type,IPO Status,Estimated Revenue Range,Number of Employees,Headquarters Location,Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Full Description,Industries,Description,Founded Date,Founded Date Precision,Website
Arkestro,https://www.crunchbase.com/organization/bid-ops,Active,For Profit,Private,Less than $1M,11-50,"San Francisco, California, United States",Series A,27950000,USD,27950000,"Arkestro is a predictive procurement software for businesses to boost savings and supply chain performance by pre-embedding preferred outcomes in any system or process. With Arkestro, businesses can orchestrate their activities across systems using instant forecasts and real-time collaboration. Predict and win 2-5x faster savings and never get stuck waiting for a KPI report again.","Predictive Analytics, Procurement, Productivity Tools, Software",Arkestro is a predictive procurement software for businesses to boost savings and supply chain performance.,2017-01-01,year,https://arkestro.com
Owkin,https://www.crunchbase.com/organization/owkin-2,Active,For Profit,Private,$10M to $50M,101-250,"New York, New York, United States",Series B,304100000,USD,304100000,"Owkin is a French-American startup that uses artificial intelligence to find the right treatment for every patient. Our focus is to use AI to discover and develop better treatments for unmet medical needs, starting with the fight against cancer. They use AI to identify new drug candidates, de-risk and accelerate clinical trials and build diagnostic tools that improve patient outcomes.  Using federated learning, a pioneering collaborative AI framework, Owkin enables medical and biopharma partners to unlock valuable insights from siloed datasets, while protecting patient privacy and securing proprietary data.  Owkin was co-founded by Thomas Clozel MD, a clinical research doctor and former assistant professor in clinical onco-hematology, and Gilles Wainrib, a pioneer in the field of machine learning in biology, in 2016. Owkin has raised over $255 million and became a ‘unicorn’ – a startup valued at more than $1 billion – in November 2021 through a $180 million investment from French biopharma company Sanofi.","Artificial Intelligence, Biotechnology, Clinical Trials, Machine Learning, Pharmaceutical",Owkin is an AI precision medicine company with a vision to find the right drug for every patient.,2016-01-01,year,http://www.owkin.com
AKASA,https://www.crunchbase.com/organization/alpha-health,Active,For Profit,Private,$1M to $10M,51-100,"San Francisco, California, United States",Series B,85000000,USD,85000000,"AKASA is an AI-powered automation company for revenue cycle management in healthcare. The company provides hospitals with Unified Automation services, which is a flexible AI-based solution that automates complex operational tasks such as those related to revenue cycle management. Its approach imbues the entire automation process with human judgment and subject matter expertise. Unified Automation operates within a hospital's existing electronic health record (EHR) and revenue cycle infrastructure to reduce errors and improve efficiencies.","Artificial Intelligence, Health Care, Machine Learning",AKASA is an AI-powered automation company for revenue cycle management in healthcare.,2018-01-01,year,https://akasa.com/
Vamstar,https://www.crunchbase.com/organization/vamstar,Active,For Profit,Private,$100M to $500M,51-100,"London, England, United Kingdom",Series A,11370000,USD,11370000,"Healthcare marketplace is broken from a long-time. Both buyers (hospitals, health systems) and suppliers (pharmaceutical and medical device manufacturers/digital health companies/service or solution providers) struggle to find the optimum opportunities for developing a transaction. It takes time and resources to effectively commercialise new healthcare technology. We use the latest data automation technologies (NLP, ML, DL etc). to aggregate demand from millions of sources and provide real-time analytics to shape the transaction. We aggregate more than $2tn of global demand (70+ countries) in our system and make it easier for healthcare companies to start closing more deals. Our customers use a range of search and bid-development tools within our platform to quickly find the most suitable opportunity and finalise a transaction. Additionally, buyers (hospital, clinics etc.) can directly launch procurement and sourcing programs in our platform and get access to thousands of suppliers in the market for their respective products/services. We have millions of contracts in our platform across countries for suppliers to bid, we have onboarded some of the world's most innovative healthcare companies, we are continuing to raise money to build the world's first digital marketplace, we have won innovation awards, and we're backed by some of the best investors in the world. And we are JUST GETTING STARTED.","B2B, Big Data, Health Care, Health Diagnostics, Life Science, Machine Learning, Marketplace, Medical Device, Natural Language Processing, Procurement",AI-powered Global B2B Healthcare Marketplace,2019-09-12,day,https://www.vamstar.io/
Regard,https://www.crunchbase.com/organization/healthtensor,Active,For Profit,Private,Less than $1M,11-50,"Santa Monica, California, United States",Series A,20420000,USD,20420000,"Regard, formerly HealthTensor, develops artificially intelligent systems to automate documentation for physicians. Their technology mines the medical record for pertinent information, assists in diagnosing key conditions, and generates proper documentation. By integrating into the workflow, Regard provides trusted, evidence-backed notes directly to physicians to save time, reduce liability, and optimize appropriate reimbursements.","Artificial Intelligence, Computer, Electronic Health Record (EHR), Health Care, Software",Regard uses AI to automatically diagnose patients and generate accurate notes for doctors to improve patient care and reduce burnout.,2017-01-01,year,http://www.healthtensor.com
Argo AI,https://www.crunchbase.com/organization/argo-ai,Active,For Profit,Private,$100M to $500M,1001-5000,"Pittsburgh, Pennsylvania, United States",Corporate Round,3600000000,USD,3600000000,"Argo AI is a global autonomy products and services company headquartered in Pittsburgh, with engineering centers located in Detroit, Cranbury, NJ, Los Angeles, Palo Alto, and Munich, Germany. Since 2016, the company has been on a mission to make the world’s streets and roadways safe, accessible, and useful for all. With a team of more than 1,800 people across the U.S. and Europe, Argo designs its Argo Autonomy Platform and Solutions to support autonomous ridesharing and goods delivery at scale to benefit communities around the world.","Artificial Intelligence, Autonomous Vehicles, Robotics, Transportation",Argo AI is a global autonomy products and services company headquartered in Pittsburgh.,2016-01-01,year,https://www.argo.ai
GreyOrange,https://www.crunchbase.com/organization/gogreyorange,Active,For Profit,Private,$10M to $50M,501-1000,"Roswell, Georgia, United States",Venture - Series Unknown,293100000,USD,293100000,"GreyOrange is a global company that modernises order fulfilment through artificial intelligence-driven software and mobile robots built together so they cooperate in deciding on and executing warehouse activities that maximise payoffs and minimise tradeoffs to create the highest yield. The company’s always-solving fulfilment operating system, GreyMatter, considers predictive and real-time data regarding orders, promises, inventory, shipping windows, and resources to orchestrate how workers and robots work together to fulfil the right orders at the right time. GreyOrange experts help organisations master fulfilment in the Age of Immediacy so they can keep promises, capture more revenue, and improve the work experience for warehouse employees. GreyOrange has core operations in the United States, Singapore, Germany, Japan, and India.","Artificial Intelligence, Hardware, Robotics, Software, Warehousing",GreyOrange is a technology startup creating artificial intelligence-driven software and AI-driven mobile robots for warehousing industry.,2011-01-01,year,http://www.greyorange.com
FinBox,https://www.crunchbase.com/organization/finbox,Active,For Profit,Private,,11-50,"Bangalore, Karnataka, India",Series A,1150000000,USD,1150000000,"FinBox works with banks and NBFCs to digitize their customer journeys and to help them underwrite NTC customers using alternative data from smartphones. FinBox is an ISO27001 compliant, technology and data science product company. It was founded in 2015 and is headquartered in Bangalore, Karnataka, India.","Artificial Intelligence, Banking, Finance, Financial Services, FinTech",FinBox is a technology and data science product company that works with banks and NBFCs to digitize their customer journeys.,2015-01-01,year,https://www.finbox.in/
Insilico Medicine,https://www.crunchbase.com/organization/insilico-medicine,Active,For Profit,Private,$10M to $50M,101-250,"Hong Kong, Hong Kong Island, Hong Kong",Series D,366300000,USD,366300000,"Insilico Medicine develops an AI platform for drug development to treat cancer and age-related diseases. It pioneered the applications of the generative adversarial networks (GANs), reinforcement learning, transfer learning, and meta-learning for the generation of novel molecular structures for the diseases with known and unknown targets, and, unlike the other companies in the field, is developing the end-to-end pipeline covering every step of drug discovery, clinical trials analysis, and digital medicine. Insilico Medicine is pursuing internal drug discovery programs in cancer, dermatological diseases, fibrosis, Parkinson's Disease, Alzheimer's Disease, ALS, diabetes, sarcopenia, and aging. Through a partnership with Life Extension, the company launched a range of nutraceutical products, which were compounded using advanced bioinformatics techniques and deep learning approaches. It also provides a range of consumer-facing applications including Young.AI.","Artificial Intelligence, Biotechnology, Health Care, Pharmaceutical",Insilico Medicine develops an AI platform for drug development to treat cancer and age-related diseases.,2014-01-01,month,http://www.insilico.com
Snowplow Analytics,https://www.crunchbase.com/organization/snowplow-analytics,Active,For Profit,Private,$1M to $10M,101-250,"London, England, United Kingdom",Series B,55152840,USD,55152840,"Snowplow is an enterprise-strength event analytics platform. It Identifies its users and tracks the way they engage with the website or application. The platform enables them to join their web analytics and other Snowplow event data with 3rd party data sources e.g. marketing data sets (from Adwords, display networks, PPC providers), customer data sets e.g. from CRM systems like Salesforce or Hubspot, and content and catalog platforms e.g. CMSs.","Analytics, Artificial Intelligence, Business Intelligence, Data Integration, Software",Snowplow Analytics is a software startup that creates behavioral data platforms for artificial intelligence and business intelligence.,2012-11-18,day,http://snowplowanalytics.com
Ataccama,https://www.crunchbase.com/organization/ataccama,Active,For Profit,Private,$1M to $10M,251-500,"Toronto, Ontario, Canada",Venture - Series Unknown,150500000,USD,150500000,"Ataccama reinvents the way data is managed to create value on an enterprise scale. Unifying Data Governance, Data Quality, and Master Data Management into a single, AI-powered fabric across hybrid and Cloud environments, Ataccama gives your business and data teams the ability to innovate with unprecedented speed while maintaining trust, security, and governance of your data. Learn more at www.ataccama.com.","Analytics, Artificial Intelligence, Business Intelligence, Cloud Data Services, Data Center Automation, Data Integration, PaaS, Privacy, SaaS, Software","Ataccama is an AI powered Enterprise Platform for Data and Metadata, combining Data Quality, Master Data Management and Data Integration.",2008-01-01,year,https://www.ataccama.com/
Aclima,https://www.crunchbase.com/organization/aclima,Active,For Profit,Private,$10M to $50M,101-250,"San Francisco, California, United States",Series B,64000000,USD,64000000,"Aclima is pioneering an entirely new way to diagnose the health of our air and track climate-changing pollution. Powered by our network of roving and stationary sensors, Aclima measures air pollution and greenhouse gases at unprecedented scales and block-by-block resolution. Our professional analytics software, Aclima Pro, translates billions of scientific measurements into environmental intelligence for governments, companies, and communities. Aclima is a purpose-driven technology company catalyzing bold climate action that protects public health, reduces emissions, and delivers clean air for all.  We're backed by top-tier investors, including Social Capital, Kapor Capital and Microsoft Climate Innovation Fund. For more information please visit https://aclima.io.","Analytics, CleanTech, Enterprise Software, Environmental Engineering, GovTech, Information Technology, Internet of Things, Machine Learning, Pollution Control, Software","Measuring air, everywhere. We are pioneering an entirely new way to diagnose the health of our air and track climate-changing pollution.",2007-01-01,year,https://aclima.io
Ordr,https://www.crunchbase.com/organization/ordr-aec7,Active,For Profit,Private,$10M to $50M,51-100,"Santa Clara, California, United States",Series C,94000000,USD,94000000,"Ordr develops an AI-based systems control engine for the hyper-connected enterprise. Ordr's control engine is a purpose-built solution to fully map the device flow genome at massive scale, using machine learning to continuously inspect, classify, and baseline the behavior of every device. Its software architecture is unique in its ability to process enormous quantities of data in real-time, using AI to provide closed loop security, generating policies for each class of device and implementing those policies through the organization’s existing multi-vendor network and security infrastructure. Ordr was founded on 2015 and is headquartered in Santa Clara, California.","Artificial Intelligence, Cloud Computing, Cyber Security, Machine Learning, Network Security",Ordr is a connected device cybersecurity startup that develops an AI-based systems control engine for the hyper-connected enterprise.,2015-01-01,year,https://ordr.net
Dataiku,https://www.crunchbase.com/organization/dataiku,Active,For Profit,Private,$100M to $500M,501-1000,"New York, New York, United States",Series E,646835229,USD,646835229,"Dataiku is a centralized data platform that moves businesses along their data journey from analytics at scale to enterprise AI. By providing a common ground for data experts and explorers, a repository of best practices, shortcuts to machine learning and AI deployment/management, and a centralized, controlled environment, Dataiku serves as a catalyst for data-powered companies. Customers like Unilever, GE, and FOX News Group use Dataiku to ensure they are moving quickly and growing exponentially along with the amount of data they’re collecting. By removing roadblocks, Dataiku ensures more opportunities for business-impacting models and creative solutions, allowing teams to work faster and smarter.","Analytics, Artificial Intelligence, Big Data, Data Integration, Enterprise Software, Machine Learning",Dataiku operates as an enterprise artificial intelligence and machine-learning platform.,2013-01-01,year,http://www.dataiku.com
Genesys,https://www.crunchbase.com/organization/genesys,Active,For Profit,Private,$1B to $10B,5001-10000,"Daly City, California, United States",Private Equity,1480000000,USD,1480000000,"Every year, Genesys orchestrates more than 70 billion remarkable customer experiences for organizations in more than 100 countries. Through the power of our cloud, digital and AI technologies, organizations can realize Experience as a Service SM our vision for empathetic customer experiences at scale. With Genesys, organizations have the power to deliver proactive, predictive, and hyper personalized experiences to deepen their customer connection across every marketing, sales, and service moment on any channel, while also improving employee productivity and engagement. By transforming back-office technology to a modern revenue velocity engine Genesys enables true intimacy at scale to foster customer trust and loyalty.","Artificial Intelligence, Cloud Computing, SaaS, Software",Genesys provides omnichannel customer experience (CX) and contact center solutions in the cloud and on-premises.,1990-01-01,year,http://www.genesys.com
Circulor,https://www.crunchbase.com/organization/circulor,Active,For Profit,Private,$1M to $10M,51-100,"London, England, United Kingdom",Series B,45057787,USD,45057787,"Circulor uses blockchain and AI to cut the cost of traceability and due diligence in raw materials supply chains. Its pioneer customers include car manufacturers, EV battery manufacturers, commodity traders, and miners who collectively want to pioneer more effective approaches to responsible sourcing. Circulor was founded in 2017 and is headquartered in London, England.","Artificial Intelligence, Blockchain, CleanTech, GreenTech, Supply Chain Management",Circulor is a blockchain sustainability company that offers traceability-as-a-service and supply chain solutions for manufacturers.,2017-10-01,day,https://circulor.com
Anaconda,https://www.crunchbase.com/organization/continuum-analytics,Active,For Profit,Private,Less than $1M,101-250,"Austin, Texas, United States",Series B,83000000,USD,83000000,"Anaconda is the most trusted Python data science platform with more than 25 million users across 250 countries serving 1 in 3 of the G2000. With more than 15 million users, Anaconda is the world’s most popular data science platform and the foundation of modern machine learning. Anaconda Enterprise delivers data science and machine learning at speed and scale, unleashing the full potential of our customers’ data science and machine learning initiatives.","Analytics, Artificial Intelligence, Big Data, Cloud Infrastructure, Enterprise Software, Machine Learning, Open Source",Anaconda is a data science platform and the foundation of modern machine learning.,2012-01-01,day,https://www.anaconda.com
Proportunity,https://www.crunchbase.com/organization/proportunity,Active,For Profit,Private,$1M to $10M,11-50,"London, England, United Kingdom",Series A,180192645,USD,180192645,"Proportunity is a technology-driven mortgage lender. The company pushes the edge on real estate data-driven investment insights. It uses machine learning to accurately forecast house prices and up-and-coming areas, providing loans to buyers looking to purchase homes in forecasted high-growing areas. Vadim Toader and Stefan Boronea started Proportunity in 2016, which is headquartered in London, England.","Artificial Intelligence, Consumer Lending, Financial Services, FinTech, Lending, Machine Learning, Real Estate, Software",Proportunity is a financial services organisation made possible by technology.,2016-11-09,day,https://www.proportunity.co
Pindrop,https://www.crunchbase.com/organization/pindrop-security,Active,For Profit,Private,$10M to $50M,251-500,"Atlanta, Georgia, United States",Series D,213299996,USD,213299996,"Pindrop is propelling enterprises and consumers toward a voice-driven future by unlocking the value of every voice interaction. Interacting with a financial institution, a digital assistant, a video chat, or a smart device can provide access to our unique identity, and open new capabilities not possible without proper security or intelligence evoked solely from a voice.","Audio, Fraud Detection, Natural Language Processing, Security, Software, Speech Recognition",Pindrop is propelling enterprises and consumers toward a voice driven future by unlocking the value of every voice interaction.,2011-01-01,year,http://pindrop.com
Brightly,https://www.crunchbase.com/organization/dude-solutions,Active,For Profit,Private,$50M to $100M,501-1000,"Cary, North Carolina, United States",Venture - Series Unknown,100000000,USD,100000000,"Brightly provides a smart asset management solution that delivers predictive insights to help users oversee the performance of their assets. With Brightly’s complete suite of CMMS, EAM, Strategic Asset Management, IoT Remote Monitoring, Sustainability, and Community Engagement software solutions, users can realize a future where efficient operations and smart assets power sustainable communities. Designed to simplify and help oversee every detail of assets and operations, the data-driven solution enables users to work smarter, eliminate waste and avoid undue costs. From preventing a leak to avoiding a power outage to repairing city streets and bridges, Brightly helps clients through the key phases of the asset management lifecycle.","Asset Management, Predictive Analytics, Productivity Tools, SaaS",Brightly provides a smart asset management solution that delivers predictive insights to help users oversee the performance of their assets.,1999-01-01,year,https://www.brightlysoftware.com
mfine,https://www.crunchbase.com/organization/mfine,Active,For Profit,Private,$1M to $10M,251-500,"Bengaluru, Karnataka, India",Series C,97568082,USD,97568082,"Mfine is an health-tech startup that offers an AI-powered online doctor consultation app. Their doctors have access to a proprietary Assistive Intelligence platform that can analyze the symptoms and deliver accurate prognosis for the specialist to assess patients. This means, the doctor knows about patients' condition even before they’ve seen them, making the diagnosis quicker and sharper. Mfine aims to make access to trusted healthcare simple, fast and proactive. With a combination of new-age technology and partnerships with best in class hospitals/clinics, they designed mfine keeping consumer experience at its core. Mfine brings in instant and continuous connectivity with top doctors of the best hospitals. It uses cutting edge technology to keep track of your health parameters and keep all your health data in your control and easily accessible. Digital wearable devices, mobile app, and at-home services bring in the much-needed convenience and speed in getting you the right care when you need it. Mfine was founded in 2017 and is based in Bengaluru.","Apps, Artificial Intelligence, Health Care, Hospital, Medical",Mfine is a health-tech startup developing an AI-powered telemedicine mobile app.,2017-01-01,year,https://www.mfine.co/
Papercup,https://www.crunchbase.com/organization/papercup-ai,Active,For Profit,Private,$10M to $50M,51-100,"London, England, United Kingdom",Series A,33234603,USD,33234603,"Papercup automates large parts of the dubbing process so content owners can localize their videos at scale, faster and at a fraction of the price of traditional methods. Our AI voices are indistinguishable from human's and our human-in-the-loop system means professional translators quality check all voiceovers for utmost accuracy.","Apps, Artificial Intelligence, Digital Media, Machine Learning, Media and Entertainment, Software, Video",Papercup translates videos using AI by generating voices that sound like the original speaker,2017-12-01,month,https://www.papercup.com/
Near,https://www.crunchbase.com/organization/nearco,Active,For Profit,Private,$50M to $100M,101-250,"Singapore, Central Region, Singapore",Series D,134000000,USD,134000000,"Near, the world’s largest source of intelligence on People, Places, and Products is the global leader in Data Intelligence empowering organizations of all sizes to make smart, strategic decisions delivering optimal business performance. We unite Marketers and Operational data leaders by providing the most accurate, reliable source of data that delivers actionable insights on People, Places, and Products in both the physical and digital space. Near is backed by leading investors including Sequoia Capital, JP Morgan Private Equity Group, Cisco Investments and Telstra Ventures. Visit www.near.com to find out more.","Analytics, Artificial Intelligence, Location Based Services, Marketing, SaaS","Near, the world’s largest source of intelligence on People, Places, and Products, is the global leader in Data Intelligence.",2012-11-01,day,https://near.com
TaskHuman,https://www.crunchbase.com/organization/task-human,Active,For Profit,Private,$1M to $10M,51-100,"Palo Alto, California, United States",Series B,33000000,USD,33000000,"TaskHuman is a real-time digital coaching platform that offers 1-on-1 interactive sessions with live wellness coaches through video calls. With this platform, users can discover and connect with the world’s most comprehensive global network of coaches, instructors, and specialists covering over 1,000 aspects of one's well-being, such as physical fitness, mental well-being, spiritual, emotional, financial, career & leadership coaching, and more.","Apps, Artificial Intelligence, Fitness, Health Care, Wellness",TaskHuman is a real-time digital coaching platform that offers 1-on-1 interactive sessions with live wellness coaches through video calls.,2017-09-01,month,https://taskhuman.com
