Organization Name,Organization Name URL,Operating Status,Company Type,IPO Status,Estimated Revenue Range,Number of Employees,Headquarters Location,Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Full Description,Industries,Description,Founded Date,Founded Date Precision,Website
NanoAvionics,https://www.crunchbase.com/organization/nanoavionics,Active,For Profit,Private,$1M to $10M,101-250,"Columbia, Illinois, United States",Grant,14625655,EUR,16450430,"NanoAvionics is a smallsat bus manufacturer and mission integrator currently based in five locations across the US, UK, and Lithuania. The company’s efforts are focused on enabling critical satellite functions and optimizing their hardware, launch, and satellite operation costs by providing end-to-end small satellite solutions – ranging from single missions to constellations. Its core engineering team has implemented over 85 successful satellite missions and commercial projects during the past several years. With modularity as the fundamental principle of NanoAvionics systems’ architecture, NanoAvionics provides economic viability to a wide range of small satellite constellation-based missions, businesses, and organizations worldwide.","Aerospace, Communication Hardware, Consumer Electronics, Electronics, Hardware, Industrial Engineering, Internet of Things, Manufacturing, Satellite Communication","NanoAvionics is a smallsat bus manufacturer and mission integrator currently based in five locations across the US, UK, and LT.",2014-01-01,year,https://nanoavionics.com/
SpinLaunch,https://www.crunchbase.com/organization/spinlaunch,Active,For Profit,Private,$10M to $50M,51-100,"Long Beach, California, United States",Pre-Seed,75000000,USD,75000000,"SpinLaunch is a stealth space catapult startup that aims to creates a much cheaper and sustainable way to get things like satellites from earth into space without chemical propellant. SpinLaunch plans to use a centrifuge spinning at an incredible rate inside a vacuum that reduces friction. All that momentum is then harnessed to catapult a payload into space at speeds one source said could be around 3000 miles per hour. With enough momentum, objects could be flung into space on their own. Alternatively, the catapult could provide some of the power needed with cargo being equipped with supplemental rockets necessary to leave the earth’s atmosphere.","Aerospace, Manufacturing, Space Travel",SpinLaunch develops a kinetic launch system for sending satellites to low-Earth orbit.,2014-01-01,year,http://spinlaunch.com/
Beta Technologies,https://www.crunchbase.com/organization/beta-technologies-1ecd,Active,For Profit,Private,,251-500,"South Burlington, Vermont, United States",Series B,886000000,USD,886000000,"Beta Technologies designs and develops electric aircraft including advanced flight control and electric propulsion systems, with a focus on clean aviation technology. Beta designs a self-sufficient eVTOL aircraft ecosystem that satisfies the needs of humans, embraces the laws of nature, and works in harmony with the planet. Beta Technologies simplifies and amplifies access to the vertical dimension of mobility.","Aerospace, Air Transportation, CleanTech, Manufacturing",Beta Technologies manufactures electric vertical takeoff and landing (eVTOL) aircraft and recharging pad systems.,2017-04-01,day,https://www.beta.team
NASA,https://www.crunchbase.com/organization/nasa,Active,For Profit,Private,$10B+,10001+,"Washington, District of Columbia, United States",,,,,"NASA's vision is to reach for new heights and reveal the unknown so that what we do and learn will benefit all humankind. President Dwight D. Eisenhower established the National Aeronautics and Space Administration in 1958, partially in response to the Soviet Union's launch of the first artificial satellite the previous year. NASA grew out of the National Advisory Committee on Aeronautics (NACA), which had been researching flight technology for more than 40 years. President John F. Kennedy focused NASA and the nation on sending astronauts to the moon by the end of the 1960s. Through the Mercury and Gemini projects, NASA developed the technology and skills it needed for the journey. On July 20, 1969, Neil Armstrong and Buzz Aldrin became the first of 12 men to walk on the moon, meeting Kennedy's challenge. Meanwhile, NASA was continuing the aeronautics research pioneered by NACA. It also conducted purely scientific research and worked on developing applications for space technology, combining both pursuits in developing the first weather and communications satellites. After Apollo, NASA focused on creating a reusable ship to provide regular access to space: the space shuttle. First launched in 1981, the space shuttle flew more than 130 successful flights before retiring in 2011. In 2000, the United States and Russia established permanent human presence in space aboard the International Space Station, a multinational project representing the work of 16 nations. NASA also has continued its scientific research. In 1997, Mars Pathfinder became the first in a fleet of spacecraft that will explore Mars in the next decade, as we try to determine if life ever existed there. The Terra and Aqua satellites are flagships of a different fleet, this one in Earth orbit, designed to help us understand how our home world is changing. NASA's aeronautics teams are focused on improved aircraft travel that is safer and cleaner. Throughout its history, NASA has conducted or funded research that has led to numerous improvements to life here on Earth.","Aerospace, National Security, Robotics, Space Travel, Technical Support","NASA is responsible for the civilian space program, as well as aeronautics and aerospace research.",1958-07-29,day,http://www.nasa.gov/
Space Perspective,https://www.crunchbase.com/organization/space-perspective,Active,For Profit,Private,$10M to $50M,11-50,"Merritt Island, Florida, United States",Debt Financing,64000000,USD,64000000,"Space Perspective is a space travel company that was established so that humans would explore space for the betterment of all. Space Perspective’s first Operations Center is on Florida’s Space Coast, in the heart of the civil and commercial space programs at NASA’s Kennedy Space Center. Flights launch from the iconic runway where the Space Shuttle landed upon its return from space. Additional planned launch locations include Cecil Spaceport in Florida, Hawaii, Alaska and elsewhere as we expand operations around the planet.","Aerospace, Space Travel, Tourism",Space Perspective is a space travel company that provides a luxury spaceflight experience.,2019-01-01,year,https://www.spaceperspective.com
Akash Systems,https://www.crunchbase.com/organization/akash-systems,Active,For Profit,Private,Less than $1M,11-50,"San Francisco, California, United States",Venture - Series Unknown,17600000,USD,17600000,"Akash Systems is focused on developing and supplying the next generation of small satellites (CubeSats), satellite transmitters, and the RF Power Amplifiers. The company uses new composite material, gallium nitride (GaN)-on-Diamond, invented by Akash cofounder Ejeckam, for their products. GaN-on-Diamond provides a cooler state of operation which improves energy efficiency and reduces a system's size, weight, and operating costs.  Akash Systems was founded in 2016 by Felix Ejeckam and Ty Mitchell and is headquartered in San Francisco, CA.","Aerospace, Information Technology, Manufacturing, Satellite Communication, Space Travel",Akash Systems is focused on developing and supplying the next generation of communications gear for space satellites.,2016-01-01,year,https://akashsystems.com/
Firefly Aerospace,https://www.crunchbase.com/organization/firefly-aerospace,Active,For Profit,Private,$1M to $10M,251-500,"Cedar Park, Texas, United States",Series B,271557023,USD,271557023,"Firefly Aerospace engages in providing economical and convenient access to space for small payloads through the design, manufacture, and operation of reliable launch vehicles. The Firefly team addresses the market's need for flexible access to space with a “simplest/soonest” approach to technology selection. Firefly launch vehicles embody the insights of a diverse design team and leverage commercial off–the–shelf (COTS) components, manufactured by suppliers across the United States, to reduce risk, maximize reliability and minimize development time.","Aerospace, Air Transportation, Satellite Communication","Firefly Aerospace provides launch vehicles, spacecraft, and in-space services for small payloads.",2014-01-01,year,https://firefly.com
Skyryse,https://www.crunchbase.com/organization/skyryse,Active,For Profit,Private,$10M to $50M,51-100,"Hawthorne, California, United States",Series B,240500000,USD,240500000,"Skyryse has developed a hardware and software operating system, FlightOS, to power all general aviation (GA) aircraft, enabling safer, more capable, and more accessible flight.  FlightOS is a common interface for pilots to be able to operate any aircraft - rotorcraft or fixed-wing - with the same controls, substantially reducing pilot fatigue and complexity while offering a step function improvement in flight safety and emergency management.  With tens of hours of training, any pilot can safely fly any aircraft regardless of its engine/wing/rotor configuration, either from the cockpit or remotely. Founded in 2016, the company is headquartered in Los Angeles, California, United States.","Aerospace, Air Transportation, Internet, Transportation",Skyryse is an air mobility company on a mission to democratize the sky.,2016-01-01,year,http://Skyryse.com
General Radar Corp.,https://www.crunchbase.com/organization/general-radar-corp,Active,For Profit,Private,Less than $1M,11-50,"Mountain View, California, United States",Series A,26860000,USD,26860000,General Radar specialized in the development of phased array mm-wave radars for the Autonomous Vehicles industry,"Aerospace, Automotive, Sensor",High resolution mm-wave radars for automotive,2016-01-01,year,http://www.genrad.io
Capella Space,https://www.crunchbase.com/organization/capella-space,Active,For Profit,Private,$10M to $50M,101-250,"San Francisco, California, United States",Series C,178969988,USD,178969988,"Capella Space is an information services company that provides on-demand 50cm high-resolution synthetic aperture radar (SAR) Earth observation imagery. Through a constellation of small satellites, Capella provides easy access to frequent, timely and flexible information affecting dozens of industries worldwide. Capella's high-resolution SAR satellites are matched with unparalleled infrastructure to deliver reliable global insights that sharpen our understanding of the changing world – improving decisions about commerce, conservation and security on Earth. Learn more at www.capellaspace.com. The company aims to make timely Earth observation an essential tool for commerce, conservation, and well-being. Capella Space was founded in 2016 and based in San Francisco, California.","Aerospace, Geospatial, Image Recognition, Information Services",Capella Space is an information services company that provides on-demand 24/7 SAR data for government and commercial customers.,2016-01-01,year,http://www.capellaspace.com
ExPace,https://www.crunchbase.com/organization/expace,Active,For Profit,Private,,11-50,"Wuhan, Hubei, China",Series B,2790000000,CNY,419070033, ExPace is a commercial space launch company.  ExPace markets the solid-fueled Kuaizhou rocket globally. The company expects to make 10 launches per year between 2017 and 2020. ,"Aerospace, Marketing, Space Travel",ExPace is a commercial space launch company that markets solid-fueled Kuaizhou rocket globally.,2016-01-01,year,http://www.expace.com.cn/
Vistara,https://www.crunchbase.com/organization/vistara-47ee,Active,For Profit,Private,$100M to $500M,1001-5000,"Haryana, Haryana, India",Private Equity,25000000000,INR,343542775,"Vistara is a joint venture of Tata Sons Limited and Singapore Airlines Limited (SIA), wherein Tata Sons holds 51% stake in partnership and Singapore Airlines owns 49% stake. The company is registered as TATA SIA Airlines Limited. In 2013, two legendary brands, Tata Sons and Singapore Airlines, decided to fulfil a long-cherished shared dream to bring forth a distinguished flying experience to air travellers in India. With its strong historical ties with aviation, the Tata group had long wished to re-enter the aviation sector, after Tata Airlines was renamed Air India and eventually, nationalised. Both, the Tata group and Singapore Airlines were also firm believers in the growth potential of the Indian aviation sector and hence tried to enter the market in the past; first, in 1994 by setting up a joint venture to start an airline in India and then in 2000, teaming up to purchase stakes in Air India. However, after the lifting of foreign investment restrictions in 2012, the partners once again sought approval for a tie-up, which it obtained in October 2013. On November 5, 2013, Vistara’s holding company, TATA SIA Airlines Limited, was incorporated.",Aerospace,Vistara is a joint venture of Tata Sons Limited and Singapore Airlines Limited (SIA),2013-11-05,day,https://www.airvistara.com
Wisk Aero,https://www.crunchbase.com/organization/wisk,Active,For Profit,Private,,251-500,"Mountain View, California, United States",Corporate Round,450000000,USD,450000000,Wisk is an urban air-mobility company on a mission to leave traffic on the ground and make the sustainable flight a reality for everyday life.,"Aerospace, Air Transportation, Sustainability, Transportation, Travel",Wisk is an urban air-mobility company on a mission to leave traffic on the ground and make sustainable flight a reality for everyday life.,2010-01-01,year,https://wisk.aero/
Infinite Composites,https://www.crunchbase.com/organization/infinite-composites-technologies,Active,For Profit,Private,$1M to $10M,11-50,"Tulsa, Oklahoma, United States",Seed,3939058,USD,3939058,"Infinite Composites develops and manufactures advanced composite pressure vessels and structures. ICT was founded in 2010 to revolutionize composite pressure vessel technology, with the ultimate goal of enabling widespread adoption of composite pressure vessels. Our vision is to make the infinite Composite Pressure Vessel (iCPV) the key enabling technology for space exploration and sustainable transport.Infinite Composites Technologies aims to practice continuous improvement to ensure we deliver products that exceed customer and industry quality standards and deliver products free of fault or defect.","Aerospace, Energy, Government, Industrial Manufacturing, Manufacturing, Oil and Gas, Satellite Communication, Space Travel, Transportation","ICT designs, develops, and manufactures advanced gas storage systems for aerospace, industrial gas and transportation applications.",2010-10-01,day,http://www.infinitecomposites.com/
GHGSat,https://www.crunchbase.com/organization/ghgsat,Active,For Profit,Private,$1M to $10M,51-100,"Montréal, Quebec, Canada",Grant,103538089,USD,103538089,"GHGSat’s mission is to become the global reference for remote sensing of greenhouse gas (GHG), air quality gas, and other trace gas emissions from any source in the world. In June 2016, GHGSat launched the world’s first high-resolution satellite capable of measuring greenhouse gas (CO2 & CH4) emissions from any industrial facility in the world. GHGSat is using this unique satellite and its patented technology to provide greenhouse gas emissions monitoring data and services globally,with better accuracy and at at a fraction of the cost of comparable alternatives. Owners of industrial facilities are now able to monitor all of their facilities, local or remote, anywhere in the world, with a common technology, in near-real-time. Significantly improved emissions information is enabling industries to better measure, control, and ultimately reduce emissions of GHGs. Building on lessons learned from its demonstration satellite, GHGSat launched its second satellite in Sept 2020 and a third is scheduled for Q1'21. Three more satellites are under construction for launch in early 2022.  GHGSat also uses the same instrument technology from its satellites on aircraft, to provide complementary resolution and performance for customers in shale plays.  GHGSat’s technology can also be used to monitor air quality gases, as well as other trace gases, in the atmosphere. Business cases are being developed for key markets, such as measuring SOx from ships.","Aerospace, Environmental Consulting, Oil and Gas",GHGSat’s mission is to become the global reference for remote sensing of greenhouse gas,2011-01-01,year,http://www.ghgsat.com/
Epirus,https://www.crunchbase.com/organization/epirus,Active,For Profit,Private,,101-250,"Hawthorne, California, United States",Series C,287388878,USD,287388878,"Epirus is a high-growth technology company developing solid-state, software-defined directed energy systems that enable unprecedented counter-electronics effects and power management solutions to optimize power efficiency in defense and commercial applications. With a constant emphasis on innovation, we are redefining the future of power to bring tomorrow’s capabilities to life, today. And that’s just the beginning. Visit our website to learn more about our innovative approach and cutting-edge product lines.","Aerospace, Machinery Manufacturing, Software",Epirus builds cutting-edge directed energy & power management systems to solve some of the world’s most complex problems.,2018-01-01,year,https://www.epirusinc.com
ABL Space Systems,https://www.crunchbase.com/organization/abl-space-systems,Active,For Profit,Private,$10M to $50M,101-250,"El Segundo, California, United States",Series B,419000000,USD,419000000,"ABL Space Systems was founded by former SpaceX engineering leaders in 2017 to develop low-cost launch vehicles for the small satellite industry. ABL is headquartered in El Segundo, California, where it has 30,000 square feet of facilities for research, development, and production. ABL is a privately-owned corporation backed by a premier group of private equity investors","Aerospace, Information Technology, Satellite Communication",ABL Space Systems specializes in building rockets to launch satellites.,2017-08-01,month,https://www.ablspacesystems.com
Plusgrade,https://www.crunchbase.com/organization/plusgrade,Active,For Profit,Private,$1M to $10M,51-100,"Montréal, Quebec, Canada",Private Equity,150631220,USD,150631220,"Plusgrade is the market leading provider of upgrade solutions, a key segment of the fast-growing ancillary revenue and merchandising sector in the global airline industry. The Company’s software solutions provide its global base of customers with meaningful incremental revenue and controls, allowing them to enhance and optimize revenue across classes of service. Plusgrade’s proprietary SaaS platform has received accolades from industry-wide participants and many distinguished media publications. Founded in 2009, Plusgrade has offices in Montreal, Canada and New York.","Aerospace, Leisure, SaaS, Software, Travel","The market leading provider of upgrade solutions, a key segment of the fast-growing ancillary revenue and merchandising sector",2009-01-01,year,http://www.plusgrade.com/
Swoop Aero,https://www.crunchbase.com/organization/swoop-aero,Active,For Profit,Private,$500M to $1B,51-100,"Docklands, Victoria, Australia",Series B,16000000,USD,16000000,"Swoop Aero is an Australian drone-powered logistics company founded in 2017 to transform how the world moves by making access to the skies seamless. We integrate drone logistics into the first and last mile of the supply chain to transform its strength and agility. Where we don’t deliver that service ourselves, we provide our technology platform selectively to organisations across the globe to further the reach of our impact. Our goal is to provide a service accessible by 1 billion people in 2030, delivering impact across industries including health, transport, disaster management, and Search and Rescue.","Aerospace, Air Transportation, Last Mile Transportation",Transforming how the world moves by making access to the skies seamless.,2017-01-01,year,https://www.swoop.aero
Venus Aerospace,https://www.crunchbase.com/organization/venus-aerospace,Active,For Profit,Private,$1M to $10M,1-10,"Seal Beach, California, United States",Series A,23173499,USD,23173499,Venus Aerospace is a start-up company pushing the boundaries of high speed transportation.,"Aerospace, Product Research, Transportation",Venus Aerospace is a start-up company pushing the boundaries of high speed transportation.,2020-01-01,year,http://www.venusaero.com/
LeoLabs,https://www.crunchbase.com/organization/leolabs,Active,For Profit,Private,Less than $1M,11-50,"Menlo Park, California, United States",Series B,82000000,USD,82000000,"LeoLabs is an aerospace company that supplies and provides low Earth orbit mapping and space situational awareness services. The company's software platform offers an open API and provides the basis for a new generation of SSA and traffic safety services. LeoLabs was founded in 2015 and is headquartered in Menlo Park, CA.","Aerospace, Database, Mapping Services, Software",LeoLabs is an aerospace company that supplies and provides low Earth orbit mapping and space situational awareness services.,2016-01-01,year,http://www.leolabs.space
Varda,https://www.crunchbase.com/organization/varda-ba64,Active,For Profit,Private,$1M to $10M,11-50,"San Francisco, California, United States",Grant,51025000,USD,51025000,Varda is a space manufacturing startup that focuses on creating products in space for terrestrial applications. They aim to manufacture things in space that benefit from low gravity. The company intends to create an infrastructure that harvests source materials for new products in-space via asteroid mining. The company was founded in 2020 by Delian Asparouhov and Trae Stephens.,"Aerospace, Manufacturing, Product Design",Varda is a space manufacturing startup that focuses on creating products in space for terrestrial applications.,2020-01-01,year,http://varda.com/
Daedalean,https://www.crunchbase.com/organization/daedalean-ag,Active,For Profit,Private,$1M to $10M,11-50,"Zürich, Zurich, Switzerland",Series B,72511531,USD,72511531,"Daedalean is a Swiss Zurich-based startup founded in 2016. It is building autonomous flight control software (AI-based airborne applications) for civil aircraft of today and the advanced aerial mobility of tomorrow – robotic air taxi. Daedalean's eventual goal is to create an AI pilot able to pass the exam for human pilots. The company has brought together expertise from machine learning, robotics, computer vision, path planning, and aviation-grade software engineering and certification. Daedalean brings to market the first-ever machine-learning-based avionics in an onboard visual awareness system demonstrating capabilities on a path to certification for airworthiness.","Aerospace, Air Transportation, Artificial Intelligence, Autonomous Vehicles, Computer Vision, Machine Learning, Software",Daedalean is building autonomous piloting software systems for civil aircraft of today and advanced aerial mobility of tomorrow.,2016-08-17,day,https://daedalean.ai
GE Aviation,https://www.crunchbase.com/organization/ge-aviation,Active,For Profit,Private,$1B to $10B,10001+,"Cincinnati, Ohio, United States",Grant,179000000,USD,179000000,"GE Aviation is a provider of jet and turboprop engines, components, and integrated systems. Headquartered in Evendale, Ohio, outside Cincinnati, GE Aviation is among the top aircraft engine suppliers, and offers engines for the majority of commercial aircraft. GE Aviation is part of the General Electric conglomerate, which is one of the world's largest corporations. The division operated under the name of General Electric Aircraft Engines or GEAE until September 2005. It offers engines, systems, and services for commercial, military, business, and general aviation aircrafts. GE Aviation's main competitors in the engine market are Rolls-Royce and Pratt & Whitney. GE operates a joint venture with SNECMA of France, and CFM International.","Aerospace, Industrial, Machinery Manufacturing","GE Aviation, a subsidiary of General Electric, is a provider of jet and turboprop engines, components, and integrated systems.",1894-01-01,year,http://www.geaviation.com
Loft Orbital,https://www.crunchbase.com/organization/loft-orbital-solutions-inc,Active,For Profit,Private,$10M to $50M,101-250,"San Francisco, California, United States",Series B,156200000,USD,156200000,"Loft Orbital operates microsatellites and flies customer payloads, as a service. Loft Orbital offers an end-to-end service that delivers your mission to orbit on a standard microsatellite bus. The company handles all elements of a satellite campaign from end to end - booking, launching and operating a satellite as well as securing the necessary licenses, insurance, and financing.","Aerospace, Satellite Communication","Loft Orbital leases space on satellites for any organization to collect information about the Earth, from space.",2017-01-01,year,http://www.loftorbital.com
Slingshot Aerospace,https://www.crunchbase.com/organization/slingshot-aerospace,Active,For Profit,Private,Less than $1M,51-100,"Austin, Texas, United States",Grant,69670000,USD,69670000,"Slingshot Aerospace builds world-class space simulation and analytics solutions. We are driven by our vision of accelerating space sustainability to create a safer, more connected world. Space is increasingly complex due to the exponential growth of global launch activity, the proliferation of new data sources, and the ever-growing body of new satellites and debris. Organizations are making mission-critical decisions in this high-risk environment and they need the right information at the right time. Slingshot Aerospace empowers government and commercial space organizations to better design, manage, and safeguard their assets, as well as mitigate risks, to ensure safe and reliable operations for all space-faring users. We are achieving this by bringing the space domain into the digital environment and fusing together data from different sources to provide a full, dynamic orbital picture. In doing so, Slingshot Aerospace customers can make decisions at the speed of relevance and achieve clarity in complex environments.","Aerospace, Analytics, Artificial Intelligence, Machine Learning, Software",We build space simulation and analytics solutions to bring clarity to complex environments and create a safer world.,2016-08-01,day,http://www.slingshotaerospace.com
ION Storage Systems,https://www.crunchbase.com/organization/ion-storage-systems,Active,For Profit,Private,$1M to $10M,11-50,"Beltsville, Maryland, United States",Series A,52500000,USD,52500000,"Ion Storage Systems is focused on developing the most energy dense, safest batteries that can be deployed in any environment. Breakthroughs in solid state battery technology have led to a battery that meets the mission critical needs for the defense and aerospace industries; and safer more efficient for consumer electronics and electric vehicles.","Aerospace, Battery, Consumer Electronics, Electric Vehicle, Electronics, Energy, Energy Storage, Manufacturing, Medical Device, Military",ION Storage Systems is an energy startup developing Solid State Lithium Metal Batteries.,2015-01-01,year,https://ionstoragesystems.com/
Pixxel,https://www.crunchbase.com/organization/pixxel-81c6,Active,For Profit,Private,Less than $1M,11-50,"Palo Alto, California, United States",Series A,32980000,USD,32980000,"Pixxel is a space technology startup that builds a constellation of advanced hyperspectral earth imaging small satellites. By capturing images in a 100s of hyperspectral bands, Pixxel is able to see things in 50x richer detail enabling organisations around the world to make better business discussions. Pixxel is leveraging the unique hyperspectral nature of satellite imagery to build a health monitor for the planet.","Aerospace, Big Data, Geospatial, Information Technology, National Security",Pixxel is a space technology startup that builds a constellation of advanced earth imaging small satellites.,2019-02-01,month,https://pixxel.space
Ursa Major,https://www.crunchbase.com/organization/ursa-major-technologies,Active,For Profit,Private,$1M to $10M,101-250,"Berthoud, Colorado, United States",Series C,133829970,USD,133829970,"Ursa Major Technologies develops innovative propulsion solutions for the emerging microsatellite and nanosatellite launch market. Its advanced manufacturing optimizes unique part creation. These engines are greater than 80% additively manufactured by mass using cutting-edge, internally-developed materials and processes. The company was founded in 2015 and is based in Berthoud, Colorado.","Aerospace, Satellite Communication, Space Travel","We seek to blur the lines between air & space, creating tomorrow's opportunities outside of our planet for those on it.",2015-01-01,year,https://www.ursamajor.com/
