Organization Name,Organization Name URL,Operating Status,Company Type,IPO Status,Estimated Revenue Range,Number of Employees,Headquarters Location,Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Full Description,Industries,Description,Founded Date,Founded Date Precision,Website
Koniku,https://www.crunchbase.com/organization/koniku,Active,For Profit,Private,$10M to $50M,11-50,"San Rafael, California, United States",Series A,49150980,USD,49150980,"Koniku has built technology that allows a computer to smell. Essentially we have built a smell cyborg that can detect disease in human breath and other bodily fluids. We wish to turn every bathroom in the world into a data centre that captures VOC's or chemical data. This data, combined with machine learning, can predict disease outcomes before disease manifests.  The Konikore is a smell processor, with applications in healthcare, security, industrial monitoring, food and more.","Biotechnology, Health Care, Internet of Things, Life Science, Machine Learning, Neuroscience, Personal Health, Security, Travel",Koniku merges synthetic biology with silicon to build machines that detect smells. We cyborgs capable of detecting smell.,2015-08-01,month,https://koniku.com
Dreem,https://www.crunchbase.com/organization/rythm,Active,For Profit,Private,$1M to $10M,51-100,"San Francisco, California, United States",Venture - Series Unknown,57000000,USD,57000000,"Dreem is a neurotechnology company building consumer technology that stimulates the brain to enhance human potential. The company's product, Dreem is a wearable device that enhances the quality of deep sleep. The device monitors brainwaves, analyzes user's sleep and stimulates the brain with sound in order to extend the amount of deep sleep, improving human performance throughout the day.","Biotechnology, Consumer Electronics, Hardware, Health Care, Internet of Things, Neuroscience, Wearables","Dreem is a neurotechnology company composed of sleep pioneers, a team of experts fascinated by science, technology and design.",2014-07-01,month,https://dreem.com/en/about
CloudMedx,https://www.crunchbase.com/organization/cloudmedx,Active,For Profit,Private,Less than $1M,11-50,"Palo Alto, California, United States",Non-equity Assistance,7299999,USD,7299999,"At CloudMedx, we collect and convert disparate healthcare data into a holistic, actionable view of the individual. Our aligned approached is based on integrating with existing systems, becoming an intuitive extension of the way providers, payers, and even patients collaborate. CloudMedx’s mission was born out of the near-death experience of the founder’s father as a result of a misdiagnosis. This was ultimately a symptom of an overrun system that does not function as well as it could. In order to deliver better, more accurate care, we decided to take an aligned approach; to unite healthcare across the continuum and benefit both patients, payers, and doctors. By using data as our superpower instead of an obstacle, together we can fundamentally change the future of healthcare.","Big Data, Health Care, Information Technology, Natural Language Processing, Neuroscience, Personal Health, Predictive Analytics",We collect and convert disparate data into holistic and actionable views of individuals and communities.,2015-01-01,year,http://www.cloudmedxhealth.com
Aiforia,https://www.crunchbase.com/organization/aiforia,Active,For Profit,Private,$1M to $10M,11-50,"Helsinki, Southern Finland, Finland",Series B,21150000,EUR,25242408,Aiforia Technologies was founded as a spin-off company from the Finnish Institute for Molecular Medicine (FIMM) at the University of Helsinki in 2013 by researchers and pioneers in the field of cloud-based microscopy and pathology and experienced life science entrepreneurs. The Aiforia® Platform brings together deep learning AI and high-performance cloud computing. Aiforia assists with the increased demand for image-based diagnostics by providing efficient and scalable solutions – enabling new discoveries and clinical support with highly accurate and consistent data. Aiforia is technologically driven establishment and keeps the capability of being image agnostic thus extending its solutions to multiple fields.,"Artificial Intelligence, Biotechnology, Education, Health Care, Information Technology, Life Science, Machine Learning, Medical, Neuroscience, Software","Aiforia’s mission is to provide global access to AI-powered image analysis for medical, healthcare professionals and beyond.",2013-01-01,year,https://www.aiforia.com/
Lumos Labs,https://www.crunchbase.com/organization/lumosity,Active,For Profit,Private,$1M to $10M,51-100,"San Francisco, California, United States",Secondary Market,67500000,USD,67500000,"Lumosity's web and mobile games are designed to challenge core cognitive abilities. Founded in 2005 and launched in 2007, Lumosity offers more than 40 games that are designed to challenge core cognitive abilities. Lumosity’s games are based on neuroscience, with continuing independent third-party studies being conducted by researchers at academic institutions around the world.","Fitness, Health Care, Neuroscience, Training, Wellness",Lumosity is a neuroscience research company that provides online brain training programs.,2005-01-01,year,http://www.lumosity.com
Coave Therapeutics,https://www.crunchbase.com/organization/horama,Active,For Profit,Private,$1M to $10M,11-50,"Paris, Ile-de-France, France",Series B,79100000,EUR,92220560,Coave Therapeutics is active in the field of gene therapies in rare ocular and CNS (Central Nervous System) diseases.,"Biotechnology, Genetics, Life Science, Neuroscience",Horama develops gene therapies for rare inherited ocular and CNS (central nervous system) diseases.,2014-01-01,year,https://coavetx.com
Earable,https://www.crunchbase.com/organization/earable,Active,For Profit,Private,,11-50,"Boulder, Colorado, United States",Seed,8700000,USD,8700000,"Earable is a neuroscience company making wearables that monitor neural signals and stimulate the brain to improve cognitive functions. The team has developed and now is commercializing a Sleep Eyemask, the World’s First Sleep Aid Device with Real-time Personalized Sleep Therapy, equipped with exclusive proprietary patent-protected technologies developed at University of Colorado and Oxford University by the founding team.","Health Care, Neuroscience, Wearables",Earable is a neuroscience company making wearables that monitor neural signals and stimulate the brain to improve cognitive functions,2018-08-01,month,http://www.earable.ai/
Inner Cosmos,https://www.crunchbase.com/organization/inner-cosmos,Active,For Profit,Private,,11-50,"Portola Valley, California, United States",Seed,10000000,USD,10000000,Inner Cosmos is the neurotechnology company that creates Brain-Computer Interface (BCI) - NeuroMedicine for rebalancing brain networks using imperceptible microstimulation.,"Medical Device, Neuroscience, Software",Inner Cosmos is the neurotechnology company that creates Brain Computer Interface (BCI) - NeuroMedicine.,2019-01-01,year,https://innercosmos.io
Paradromics,https://www.crunchbase.com/organization/paradromics,Active,For Profit,Private,Less than $1M,11-50,"Austin, Texas, United States",Seed,49400000,USD,49400000,Paradromics is bringing to market the first high data rate interface between brains and computers to create a new industry where medical challenges are met with technical solutions.,"Health Care, Medical Device, Neuroscience",Paradromics is developing high data rate brain computer interfacing technology,2015-01-01,year,https://paradromics.com/
SetPoint Medical,https://www.crunchbase.com/organization/setpoint-medical,Active,For Profit,Private,$1M to $10M,11-50,"Valencia, California, United States",Debt Financing,199000000,USD,199000000,"SetPoint Medical is dedicated to treating patients with debilitating inflammatory diseases, such as Crohn's Disease and rheumatoid arthritis, using proprietary implantable bioelectronic devices. The company developing novel bioelectronic medicine therapies to treat those who suffer from autoimmune diseases such as rheumatoid arthritis, Crohn's Disease, and multiple sclerosis. The scientific platform is based on the Inflammatory Reflex—the natural mechanism by which the central nervous system regulates the immune system. This mechanism was discovered by SetPoint co-founder Kevin Tracey and published in Nature in May 2000. Since then, the Inflammatory Reflex has been characterized in more than 100 peer reviewed papers in leading scientific journals. Anti-inflammatory potency comparable to leading drugs has been demonstrated in multiple animal models. The company is currently conducting human trials in rheumatoid arthritis at four European centers. SetPoint's microregulator is intended to supplement the body's natural Inflammatory Reflex by providing 'built-in' therapy at a lower cost and with improved safety compared with drugs or biologic solutions.","Biotechnology, Health Care, Medical Device, Neuroscience",SetPoint Medical treats patients with debilitating inflammatory diseases using proprietary implantable bioelectronic devices.,2006-01-01,year,http://www.setpointmedical.com
Metaphysiks,https://www.crunchbase.com/organization/metaphysiks,Active,For Profit,Private,,1-10,"Lausanne, Vaud, Switzerland",Seed,2000000,USD,2000000,Metaphysiks is a groundbreaking immersive technology company combining world leading neuroscience and robotics to create multisensory experiences.,"Neuroscience, Robotics",Metaphysiks is a immersive technology company combining world leading neuroscience and robotics to create multisensory experiences.,2016-01-01,year,https://metaphysiks.ch/
Neuralink,https://www.crunchbase.com/organization/neuralink,Active,For Profit,Private,$10M to $50M,251-500,"Fremont, California, United States",Secondary Market,363000000,USD,363000000,"Neuralink develops a brain-machine interface that provides solutions for those with paralysis. Neuralink engages in the development of high-bandwidth brain-machine interfaces. It is driven to building devices that will help people with paralysis and inventing new technologies that will expand abilities, community, and, world.","Hardware, Medical, Medical Device, Neuroscience, Robotics, Software, Wearables",Neuralink develops a brain machine interface that provides solutions for those with paralysis.,2016-01-01,year,https://www.neuralink.com
Neurolens,https://www.crunchbase.com/organization/eyebrain-medical,Active,For Profit,Private,Less than $1M,51-100,"Coppell, Texas, United States",Debt Financing,73837381,USD,73837381,"Neurolens are prescription lenses that add a contoured prism to bring the eyes into alignment, relieving the headaches, neck or shoulder pain, and eyestrain that many people experience when using digital devices, reading, or doing detailed work. The company was founded in 2012 and is headquartered in Costa Mesa, California.","Eyewear, Health Care, Medical, Neuroscience",Neurolens designs prescription lenses that add a contoured prism to bring the eyes into alignment.,2012-06-01,month,https://www.neurolenses.com
Wispr AI,https://www.crunchbase.com/organization/wispr-ai,Active,For Profit,Private,,1-10,"South San Francisco, California, United States",Seed,4600000,USD,4600000,"Wispr AI is building the next generation of neurotech-enabled consumer electronics. Wispr brings together the latest advancements in neurotechnology, ML, and hardware systems to frontier technology to the masses. Wispr AI was founded in 2021 and is headquartered in San Francisco, California.","Artificial Intelligence, Consumer Electronics, Machine Learning, Neuroscience, Wearables",Wispr AI is developing neural interfaces for the mass consumer market.,2021-01-01,year,https://wispr.ai
Translated,https://www.crunchbase.com/organization/translated,Active,For Profit,Private,$1M to $10M,101-250,"Rome, Lazio, Italy",Private Equity,25200000,EUR,29883419,"We are on a mission to open up language to everyone, using a powerful combination of expert human translators and machine intelligence, and providing curated localization solutions and tools to 225,176 customers worldwide.","Local, Machine Learning, Natural Language Processing, Neuroscience, Public Relations, Translation Service","Professional translation services made easy. Crafted by expert humans, powered by technology, efficiently delivered.",1999-05-13,day,https://translated.com/
BrainCo,https://www.crunchbase.com/organization/brainco,Active,For Profit,Private,$1M to $10M,11-50,"Somerville, Massachusetts, United States",Seed,5950000,USD,5950000,"BrainCo was founded in 2015, transforming the most advanced technologies from Center for Brain Science at Harvard, and Mcgovern Institute for Brain Research at MIT into research and development of wearable wireless EEG brain wave detector.  we recently raised $5 million from several outlets.","Biotechnology, Education, Electronics, Hardware, Health Care, Neuroscience, Wearables",BrainCo strives to apply brain machine interface (BMI) and neurofeedback training to optimize the potential of the human brain.,2015-01-01,year,http://www.brainco.tech
Neuphony,https://www.crunchbase.com/organization/neuphony,Active,For Profit,Private,,1-10,"New Delhi, Delhi, India",Seed,27500000,INR,367106,"Neuphony believes in unlimited potential of human mind and strives toward unlocking it to bring out the best in them. Neurofeedback has been scientifically proven to be a powerful tool to improve the overall health of your brain including improving memory, sleep quality and reducing stress and anxiety. Neuphony brings you the benefits of neurofeedback at the comfort of your home with the help of our headband and a mobile application. The headband measures the electrical activity of your brain and the mobile app based on the sensor data recommends you meditation techniques to achieve your desired state. Over sessions it trains your brain on how to achieve the desired state itself.  ConsumerTech, HealthTech, Mental Health, Wearables, Neurofeedback, Mindfulness and Meditation","Consumer Electronics, Electronics, Fitness, Hardware, Neuroscience, Software, Wearables, Wellness",Neuphony is developing wearable EEG Neurofeedback devices to unlock the true potential of Mind.,2020-10-16,day,https://www.neuphony.com
Halo Neuroscience,https://www.crunchbase.com/organization/halo-neuroscience,Active,For Profit,Private,Less than $1M,11-50,"San Francisco, California, United States",Venture - Series Unknown,24650000,USD,24650000,"Halo Neuroscience develops and markets neurotechnology systems to help individuals unlock their true potential. Their first product, Halo Sport, utilizes Neuropriming technology to accelerate skill and strength acquisition in elite athletes.  Neuropriming is the process of using electrical stimulation during movement-based training to build stronger, more optimized connections between your brain and muscles. This process induces a temporary state of hyper-learning or ""hyperplasticity"" in the brain, which refines the brain's ability to learn and adapt to training. The company was incorporated in 2013 and is based in San Francisco, CA.","Consumer Electronics, Health Care, Medical Device, Neuroscience, Sports",Halo Neuroscience is a neurotech company focused on using electrical neurostimulation to unlock human performance and treat human disease ,2013-01-01,year,http://haloneuro.com/
Winterlight Labs,https://www.crunchbase.com/organization/winterlight,Active,For Profit,Private,$1M to $10M,11-50,"Toronto, Ontario, Canada",Series A,5230000,USD,5230000,"Winterlight Labs builds technology that can quickly and accurately detect signs of cognitive impairment from a sample of speech. WinterLight Labs develops a novel AI technology platform that can quickly and accurately quantify speech and language patterns to help detect and monitor cognitive and mental diseases. This platform can analyze natural speech to detect and monitor dementia, aphasia, and various cognitive conditions. Using a short one-minute sample of speech, WinterLight can characterize the speaker's cognitive, acoustic, and linguistic state, including lexical diversity, syntactic complexity, semantic content, and articulation. Winterlight was founded in 2015 and is based in Toronto, Canada.","Artificial Intelligence, Information Technology, Machine Learning, Neuroscience, Product Research, Speech Recognition",Winterlight builds technology that can quickly and accurately detect signs of cognitive impairment from a sample of speech.,2015-01-01,year,http://www.winterlightlabs.com/
Cognixion,https://www.crunchbase.com/organization/cognixion,Active,For Profit,Private,$1M to $10M,11-50,"Santa Barbara, California, United States",Seed,14766000,USD,14766000,"Cognixion is a computer software company that specializes in the fields of artificial intelligence, machine learning, and biotechnology. It features a sensory communication system that enables people to communicate using a brain-computer interface that translates brainwaves directly into communication. The company was founded in 2014 and headquartered in Santa Barbara, California.","Artificial Intelligence, Augmented Reality, Machine Learning, Neuroscience, Software",Cognixion is a neural interface startup creates AI-powered products for individuals with disabilities.,2014-01-01,year,https://www.cognixion.com
MIVI Neuroscience,https://www.crunchbase.com/organization/mivi-neuroscience,Active,For Profit,Private,$1M to $10M,11-50,"Eden Prairie, Minnesota, United States",Series B,92327103,USD,92327103,"MIVI Neuroscience focuses on developing and commercializing clinical solutions for neurointerventional procedures. Their innovative product portfolio provides physicians with unique devices that improve patient outcomes by reducing complications, shortening procedure times, and expanding treatment to more patients. The company was founded in 2013 and is headquartered in Eden Prairie, Minnesota.","Health Care, Medical, Medical Device, Neuroscience",MIVI Neuroscience focuses on developing and commercializing clinical solutions for neurointerventional procedures.,2013-01-01,year,https://www.mivineuro.com/
AdHawk Microsystems,https://www.crunchbase.com/organization/adhawk-microsystems,Active,For Profit,Private,$1M to $10M,11-50,"Kitchener, Ontario, Canada",Debt Financing,16750000,USD,16750000,"AdHawk Microsystems delivers full-stack eye tracking technology - from custom silicon to cloud-based analytics - to unlock the connection between the eyes, the brain and the world around us. The company has developed wearable eye tracking products with unprecedented speed and data quality by replacing cameras and image processing with a highly customized microsystem that delivers game-changing computational and power efficiencies. The AdHawk solution is powering a new generation of “form-factor-first” smart glasses with all-day biometric sensing in Tier 1 OEM products. The technology is also being deployed in XR products, human-computer-interaction PC peripherals, and clinical instruments. Deep-tech breakthroughs at AdHawk have also positioned the company to develop the first fitness tracker for the brain: a consumer wearable device that will soon offer billions of people rich analytics on their cognitive processes, and actionable insights to improve their brain health and wellness.","Gaming, Hardware, Health Care, Human Computer Interaction, Medical, Neuroscience, Wearables",AdHawk Microsystems develops camera-free eye-tracking solutions that unlock the connection between the eyes and the brain.,2015-01-01,year,http://www.adhawkmicrosystems.com/
Precision Neuroscience,https://www.crunchbase.com/organization/precision-neuroscience,Active,For Profit,Private,,1-10,"New York, New York, United States",Series A,12000000,USD,12000000,"Precision Neuroscience brings together an experienced team that has been developing brain-computer interfaces for nearly two decades. The company has a sizable and growing intellectual property portfolio and is developing an integrated system of electronics, software, and minimally invasive neural implants.","Medical Device, Neuroscience, Product Research",Precision Neuroscience is to develop and commercialize brain-computer interfaces (BCI).,2021-01-01,year,https://precisionneuro.io/
SciNeuro,https://www.crunchbase.com/organization/scineuro,Active,For Profit,Private,,11-50,"Shanghai, Shanghai, China",Series A,100000000,USD,100000000,,"Biopharma, Biotechnology, Neuroscience",SciNeuro is a biotechnology company focused on developing innovative medicines for patients with central nervous system diseases.,2020-01-01,year,http://www.scineuro.com
Epitel,https://www.crunchbase.com/organization/epitel,Active,For Profit,Private,$1M to $10M,1-10,"Salt Lake City, Utah, United States",Series A,20400000,USD,20400000,"Epitel is a digital health company developing a wearable, wireless EEG monitoring platform to provide accessible, affordable, and reliable for seizure detection.","Emergency Medicine, Health Care, Health Diagnostics, Home Health Care, Hospital, Medical, Medical Device, mHealth, Neuroscience","Epitel is empowering clinicians, patients, and caregivers who live with or care for neurological disorders with wearables and powerful AI.",2017-01-01,year,http://www.epitel.com
OccamzRazor,https://www.crunchbase.com/organization/occamzrazor-razor-inc,Active,For Profit,Private,$1M to $10M,11-50,"San Francisco, California, United States",Series A,12350000,USD,12350000,"OccamzRazor combines machine learning and first-in-class biological techniques to improve outcomes in drug discovery and development. Our analysis pipeline consists of two proprietary technologies, Panoramic AI and RazorBrain. Together, they are designed to extract data from unstructured text sources (publications, patient reported outcomes, etc.) and join them with structured data (genomics, proteomics, phenomics, etc.) to generate stronger drug discovery hypotheses and more valuable insights. Successful applications include data extraction and curation from biomedical text, novel target identification, and drug repurposing/repositioning.","Artificial Intelligence, Machine Learning, Neuroscience",OccamzRazor combines machine learning and first-in-class biological techniques to improve outcomes in drug discovery and development.,2015-10-01,month,http://www.occamzrazor.com
AZTherapies,https://www.crunchbase.com/organization/aztherapies,Active,For Profit,Private,$1M to $10M,11-50,"Boston, Massachusetts, United States",Venture - Series Unknown,99841459,USD,99841459,"AZTherapies is an advanced clinical-stage biopharmaceutical company developing novel therapies that aim to fundamentally change neurodegenerative disease progression, extending normal cognition and function and improving quality of life in the aging population. Advancing a growing pipeline to treat patients with few therapeutic options, the Company’s lead candidate, ALZT-OP1, is built on a multi-modal approach that recognizes neuroinflammation as a root cause of serious neurodegeneration and seeks to stop or slow the progression of the disease. The Phase 3 COGNITE trial in early Alzheimer’s disease is fully enrolled and expected to complete in late 2020. Following the lead program, AZTherapies is advancing candidates for the treatment of post-ischemic stroke cognitive impairment, amyotrophic lateral sclerosis (ALS), and other indications.  AZTherapies is a private company founded in 2011 and headquartered in Boston, Massachusetts.","Biopharma, Biotechnology, Health Care, Neuroscience, Pharmaceutical, Therapeutics",AZTherapies is a clinical stage biotech company developing breakthrough treatments for neuroinflammation-related diseases.,2011-01-01,year,http://www.aztherapies.com
Aleva Neurotherapeutics,https://www.crunchbase.com/organization/aleva-neurotherapeutics,Active,For Profit,Private,$1M to $10M,11-50,"Lausanne, Vaud, Switzerland",Series E,65268508,USD,65268508,"Aleva Neurotherapeutics develops the next generations of implantable Deep Brain Stimulation systems, based on a MEMS technology. Our unique microfabricated devices enable Target Specific Stimulation and optimization of current therapies. They will also permit targeting new areas of the brain and the measurement of neurophysiological activity, translating into faster, more certain surgical placement of electrode leads. The first application will be in Deep Brain Stimulation for indications such as Parkinson's Disease and Essential Tremor. To maximize the value it can capture from its technology, Aleva intends to develop a series of two therapeutic products, while eliminating technological and clinical development risks at each stage. Our first product, directSTIM, an intelligent directional electrode connected to a best-in-class Deep Brain Stimulation system, has successfully completed an acute clinical trial at the Inselspital in Bern, Switzerland. It is currently further developped for a long term use. Aleva has been was founded in 2008 in Lausanne, Switzerland. It has raised 42 MUSD to date from prominent VCs, private investors and a strategic investor. The company is ISO13485 certified.","Health Care, Health Diagnostics, Medical Device, Neuroscience",Aleva Neurotherapeutics has developed proprietary neurostimulation platform based on microDBS Technology.,2008-01-01,year,http://www.aleva-neuro.com/
Shalby Hospitals,https://www.crunchbase.com/organization/shalby-hospitals,Active,For Profit,Private,$10M to $50M,1001-5000,"Ahmedabad, Gujarat, India",Private Equity,1500000000,INR,23303722,"Shalby Hospitals ( Shalby Limited), established by Dr. Vikram I. Shah in 1994 in Ahmedabad, Gujarat, operates a chain of multispecialty hospitals across India, holding an aggregate bed capacity of over 2000 hospital beds. Shalby’s recognition as a multispecialty tertiary hospital chain in the Indian healthcare industry was envisioned by its founder Dr. Vikram Shah – CMD, who has been felicitated by Ethicon India for the development of the ‘OS Needle’.","Health Care, Hospital, Neuroscience",Shalby Hospitals provide world class facilities and offer the entire gamut of medical services to patients worldwide,1994-01-01,year,https://www.shalby.org/
Navega Therapeutics,https://www.crunchbase.com/organization/navega-therapeutics,Active,For Profit,Private,,1-10,"San Diego, California, United States",Grant,6692340,USD,6692340,"Navega Therapeutics is a preclinical stage company pursuing a radically different approach to treat chronic pain and tackle the opioid epidemic. At Navega, we have developed a novel gene therapy to treat severe chronic pain that is non-addictive, highly specific, and long lasting. We were inspired by nature: there are humans that have a mutation in their genome that feel no pain whatsoever. We have imitated this process by developing a novel gene therapy to target pain in a non-addictive way. In our proof of concept, we demonstrated that the mice that received our therapy have an increased pain tolerance and lower pain levels during weeks. We validated our approach in three preclinical animal models: inflammatory pain, chemotherapy-induced neuropathic pain and BzATP-induced pain. We also have safety studies demonstrating that our therapy has no neurological, motor, or olfactory side-effects. We have been awarded two SBIR grants, one from the National Cancer Institute and another one from the National Institute of Neurological Disorders and Stroke, and licensed three patents from UCSD.","Biopharma, Biotechnology, Health Care, Neuroscience, Therapeutics",Navega Tx is a preclinical stage company pursuing a radically different approach to treat chronic pain and tackle the opioid epidemic.,2018-01-01,year,https://www.navegatx.com/
